SCENE_ID,START_TIME_30FPS,END_TIME_30FPS,ON_SCREEN_TEXT,TYPE,PRIORITY,EMPHASIS_WORD,VISUAL_ACTION,SFX,LOCK_STYLE
AUTO_001,00:00:03.00,00:00:06.15,THE CLUE WAS HIDDEN,AUTO,MEDIUM,,AUTO,NONE,FALSE
QUESTION_001,00:00:12.10,00:00:16.00,But what would prove it?,QUESTION,HIGH,prove,AUTO,NONE,FALSE
FACT_001,00:00:22.00,00:00:25.15,This layer formed millions of years ago,FACT,LOW,,NONE,NONE,FALSE
NUMBER_001,00:00:32.00,00:00:35.20,42% OF THE SAMPLES MATCHED,NUMBER,HIGH,42%,PUNCH_IN,SOFT_HIT,FALSE
EVIDENCE_001,00:00:43.00,00:00:47.00,THE FOSSIL RECORD,EVIDENCE,HIGH,FOSSIL,DIM_FOCUS,NONE,FALSE
COMPARISON_001,00:00:54.00,00:00:58.10,TOOLS VS INSTINCT,COMPARISON,MEDIUM,VS,AUTO,SUBTLE_WHOOSH,FALSE
WARNING_001,00:01:05.00,00:01:08.20,DO NOT OVERSTATE THE RESULT,WARNING,HIGH,NOT,NONE,NONE,FALSE
UNCERTAINTY_001,00:01:15.00,00:01:19.00,BEHAVIOR REMAINS UNKNOWN,UNCERTAINTY,MEDIUM,UNKNOWN,DIM_FOCUS,NONE,FALSE
TAKEAWAY_001,00:01:26.00,00:01:30.00,CONTEXT MAKES IT EVIDENCE,TAKEAWAY,HIGH,CONTEXT,FREEZE,SOFT_HIT,FALSE
SECTION_001,00:01:38.00,00:01:42.00,THE PRESERVATION PROBLEM,SECTION,MEDIUM,,AUTO,NONE,FALSE
